           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.94;ACEH
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.92;"SUMATERA UTARA"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.87;"SUMATERA BARAT"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.92;RIAU
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.9;JAMBI
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.95;"SUMATERA SELATAN"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.85;BENGKULU
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.9;LAMPUNG
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.88;"KEP. BANGKA BELITUNG"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.96;"KEP. RIAU"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.93;"DKI JAKARTA"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.97;"JAWA BARAT"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.96;"JAWA TENGAH"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.93;"DI YOGYAKARTA"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.94;"JAWA TIMUR"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.91;BANTEN
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.94;BALI
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.88;"NUSA TENGGARA BARAT"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.27;"NUSA TENGGARA TIMUR"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.89;"KALIMANTAN BARAT"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.85;"KALIMANTAN TENGAH"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.92;"KALIMANTAN SELATAN"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.96;"KALIMANTAN TIMUR"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.6;"KALIMANTAN UTARA"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.91;"SULAWESI UTARA"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.82;"SULAWESI TENGAH"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.8;"SULAWESI SELATAN"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.91;"SULAWESI TENGGARA"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.85;GORONTALO
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.52;"SULAWESI BARAT"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.91;MALUKU
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.87;"MALUKU UTARA"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.66;"PAPUA BARAT"
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;92.04;PAPUA
"Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi";"Tidak Ada";2022;Tahun;99.8;INDONESIA
