           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;92.53;ACEH
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;97.23;"SUMATERA UTARA"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;90.66;"SUMATERA BARAT"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;84.85;RIAU
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;84.33;JAMBI
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;81.11;"SUMATERA SELATAN"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;93.97;BENGKULU
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;87.4;LAMPUNG
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;86.5;"KEP. BANGKA BELITUNG"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;87.08;"KEP. RIAU"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;76.91;"DKI JAKARTA"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;78.86;"JAWA BARAT"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;86.83;"JAWA TENGAH"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;89.93;"DI YOGYAKARTA"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;87.37;"JAWA TIMUR"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;75.49;BANTEN
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;90.82;BALI
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;93.68;"NUSA TENGGARA BARAT"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;86.38;"NUSA TENGGARA TIMUR"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;84.79;"KALIMANTAN BARAT"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;83.97;"KALIMANTAN TENGAH"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;80.97;"KALIMANTAN SELATAN"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;95.09;"KALIMANTAN TIMUR"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;97.57;"KALIMANTAN UTARA"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;86.03;"SULAWESI UTARA"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;87.99;"SULAWESI TENGAH"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;86.49;"SULAWESI SELATAN"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;89.14;"SULAWESI TENGGARA"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;87.83;GORONTALO
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;87.86;"SULAWESI BARAT"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;95.96;MALUKU
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;95.4;"MALUKU UTARA"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;97.71;"PAPUA BARAT"
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;77.06;PAPUA
"Angka Partisipasi Kasar ( A P K )";"SM/SMK/MA/Paket C";2022;Tahun;85.49;INDONESIA
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;95.02;ACEH
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;90.31;"SUMATERA UTARA"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;92.57;"SUMATERA BARAT"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;94.45;RIAU
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;87.84;JAMBI
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;89.41;"SUMATERA SELATAN"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;90.79;BENGKULU
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;92.37;LAMPUNG
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;87.85;"KEP. BANGKA BELITUNG"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;93.27;"KEP. RIAU"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;89.89;"DKI JAKARTA"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;93.46;"JAWA BARAT"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;94.05;"JAWA TENGAH"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;94.02;"DI YOGYAKARTA"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;95.95;"JAWA TIMUR"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;94.05;BANTEN
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;96.23;BALI
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;92.59;"NUSA TENGGARA BARAT"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;89.88;"NUSA TENGGARA TIMUR"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;84.59;"KALIMANTAN BARAT"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;89.7;"KALIMANTAN TENGAH"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;86.4;"KALIMANTAN SELATAN"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;91.47;"KALIMANTAN TIMUR"
