           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;71.16;ACEH
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;68.27;"SUMATERA UTARA"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;68.38;"SUMATERA BARAT"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;63.87;RIAU
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;60.73;JAMBI
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;61;"SUMATERA SELATAN"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;66.61;BENGKULU
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;61.96;LAMPUNG
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;59.65;"KEP. BANGKA BELITUNG"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;73.54;"KEP. RIAU"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;60.88;"DKI JAKARTA"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;58.6;"JAWA BARAT"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;61.17;"JAWA TENGAH"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;74.5;"DI YOGYAKARTA"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;62.1;"JAWA TIMUR"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;59.54;BANTEN
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;74.73;BALI
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;67.61;"NUSA TENGGARA BARAT"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;56;"NUSA TENGGARA TIMUR"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;51.87;"KALIMANTAN BARAT"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;55.69;"KALIMANTAN TENGAH"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;59.61;"KALIMANTAN SELATAN"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;69.1;"KALIMANTAN TIMUR"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;65.65;"KALIMANTAN UTARA"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;63.3;"SULAWESI UTARA"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;65.72;"SULAWESI TENGAH"
"Angka Partisipasi Murni ( A P M )";"SM/SMK/MA/Paket C";2022;Tahun;60.44;"SULAWESI SELATAN"
