           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;31.72;ACEH
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;26.6;"SUMATERA UTARA"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;35.41;"SUMATERA BARAT"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;28.65;RIAU
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;23.35;JAMBI
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;18.61;"SUMATERA SELATAN"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;29.42;BENGKULU
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;20.72;LAMPUNG
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;17.68;"KEP. BANGKA BELITUNG"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;19.5;"KEP. RIAU"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;24.89;"DKI JAKARTA"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;23.99;"JAWA BARAT"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;23.76;"JAWA TENGAH"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;50.43;"DI YOGYAKARTA"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;26.21;"JAWA TIMUR"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;22.14;BANTEN
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;30.18;BALI
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;25.64;"NUSA TENGGARA BARAT"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;29.36;"NUSA TENGGARA TIMUR"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;24.5;"KALIMANTAN BARAT"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;24.29;"KALIMANTAN TENGAH"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;24.52;"KALIMANTAN SELATAN"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;29.33;"KALIMANTAN TIMUR"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;25.62;"KALIMANTAN UTARA"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;23.43;"SULAWESI UTARA"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;27.04;"SULAWESI TENGAH"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;35.07;"SULAWESI SELATAN"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;31.81;"SULAWESI TENGGARA"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;30.06;GORONTALO
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;23.43;"SULAWESI BARAT"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;40.15;MALUKU
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;30.67;"MALUKU UTARA"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;30.69;"PAPUA BARAT"
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;23.58;PAPUA
"Angka Partisipasi Sekolah ( A P S )";19-24;2022;Tahun;25.99;INDONESIA
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;83.1;ACEH
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;78.66;"SUMATERA UTARA"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;83.71;"SUMATERA BARAT"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;77.32;RIAU
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;72.53;JAMBI
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;70.93;"SUMATERA SELATAN"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;79.31;BENGKULU
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;71.14;LAMPUNG
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;68.42;"KEP. BANGKA BELITUNG"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;84.54;"KEP. RIAU"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;72.1;"DKI JAKARTA"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;68.66;"JAWA BARAT"
