           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;85.72;ACEH
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;92.83;"SUMATERA UTARA"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;94.21;"SUMATERA BARAT"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;94.95;RIAU
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;93.63;JAMBI
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;92.77;"SUMATERA SELATAN"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;94.03;BENGKULU
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;93.98;LAMPUNG
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;96.11;"KEP. BANGKA BELITUNG"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;96.52;"KEP. RIAU"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;97.37;"DKI JAKARTA"
